Country,Product,Month,Quantity
Australia,MorningMint,Jan2004,939
Australia,MorningMint,Feb2004,959
Australia,MorningMint,Mar2004,907
Australia,MorningMint,Apr2004,966
Australia,MorningMint,May2004,757
Australia,MorningMint,Jun2004,832
Australia,MorningMint,Jul2004,1009
Australia,MorningMint,Aug2004,878
Australia,MorningMint,Sep2004,999
Australia,MorningMint,Oct2004,927
Australia,MorningMint,Nov2004,905
Australia,MorningMint,Dec2004,949
Australia,FreshStart Toothpaste,Jan2004,1673
Australia,FreshStart Toothpaste,Feb2004,1784
Australia,FreshStart Toothpaste,Mar2004,1606
Australia,FreshStart Toothpaste,Apr2004,1813
Australia,FreshStart Toothpaste,May2004,1888
Australia,FreshStart Toothpaste,Jun2004,1855
Australia,FreshStart Toothpaste,Jul2004,1777
Australia,FreshStart Toothpaste,Aug2004,1580
Australia,FreshStart Toothpaste,Sep2004,1830
Australia,FreshStart Toothpaste,Oct2004,1863
Australia,FreshStart Toothpaste,Nov2004,1862
Australia,FreshStart Toothpaste,Dec2004,1692
Australia,SmileShield Whitening Strips,Jan2004,0
Australia,SmileShield Whitening Strips,Feb2004,0
Australia,SmileShield Whitening Strips,Mar2004,0
Australia,SmileShield Whitening Strips,Apr2004,0
Australia,SmileShield Whitening Strips,May2004,0
Australia,SmileShield Whitening Strips,Jun2004,0
Australia,SmileShield Whitening Strips,Jul2004,0
Australia,SmileShield Whitening Strips,Aug2004,0
Australia,SmileShield Whitening Strips,Sep2004,0
Australia,SmileShield Whitening Strips,Oct2004,0
Australia,SmileShield Whitening Strips,Nov2004,0
Australia,SmileShield Whitening Strips,Dec2004,0
Australia,BriteBite Toothbrush,Jan2004,704
Australia,BriteBite Toothbrush,Feb2004,667
Australia,BriteBite Toothbrush,Mar2004,640
Australia,BriteBite Toothbrush,Apr2004,729
Australia,BriteBite Toothbrush,May2004,585
Australia,BriteBite Toothbrush,Jun2004,635
Australia,BriteBite Toothbrush,Jul2004,667
Australia,BriteBite Toothbrush,Aug2004,639
Australia,BriteBite Toothbrush,Sep2004,671
Australia,BriteBite Toothbrush,Oct2004,689
Australia,BriteBite Toothbrush,Nov2004,648
Australia,BriteBite Toothbrush,Dec2004,675
Australia,LuminousLip Care,Jan2004,0
Australia,LuminousLip Care,Feb2004,0
Australia,LuminousLip Care,Mar2004,0
Australia,LuminousLip Care,Apr2004,0
Australia,LuminousLip Care,May2004,0
