Country,Product,Month,Quantity
Australia,MorningMint,Jan2004,772
Australia,MorningMint,Feb2004,822
Australia,MorningMint,Mar2004,1043
Australia,MorningMint,Apr2004,882
Australia,MorningMint,May2004,807
Australia,MorningMint,Jun2004,835
Australia,MorningMint,Jul2004,792
Australia,MorningMint,Aug2004,796
Australia,MorningMint,Sep2004,959
Australia,MorningMint,Oct2004,825
Australia,MorningMint,Nov2004,838
Australia,MorningMint,Dec2004,762
Australia,SmileShield Whitening Strips,Jan2004,1768
Australia,SmileShield Whitening Strips,Feb2004,1609
Australia,SmileShield Whitening Strips,Mar2004,1523
Australia,SmileShield Whitening Strips,Apr2004,1667
Australia,SmileShield Whitening Strips,May2004,1743
Australia,SmileShield Whitening Strips,Jun2004,1685
Australia,SmileShield Whitening Strips,Jul2004,1639
Australia,SmileShield Whitening Strips,Aug2004,1665
Australia,SmileShield Whitening Strips,Sep2004,1630
Australia,SmileShield Whitening Strips,Oct2004,1696
Australia,SmileShield Whitening Strips,Nov2004,1704
Australia,SmileShield Whitening Strips,Dec2004,1766
Australia,BriteBite Toothbrush,Jan2004,952
Australia,BriteBite Toothbrush,Feb2004,1131
Australia,BriteBite Toothbrush,Mar2004,1083
Australia,BriteBite Toothbrush,Apr2004,1016
Australia,BriteBite Toothbrush,May2004,1032
Australia,BriteBite Toothbrush,Jun2004,1061
Australia,BriteBite Toothbrush,Jul2004,1044
Australia,BriteBite Toothbrush,Aug2004,1124
Australia,BriteBite Toothbrush,Sep2004,1030
Australia,BriteBite Toothbrush,Oct2004,1176
Australia,BriteBite Toothbrush,Nov2004,1047
Australia,BriteBite Toothbrush,Dec2004,1070
Australia,CleanSlate Mouthwash,Jan2004,1631
Australia,CleanSlate Mouthwash,Feb2004,1756
Australia,CleanSlate Mouthwash,Mar2004,1595
Australia,CleanSlate Mouthwash,Apr2004,1703
Australia,CleanSlate Mouthwash,May2004,1687
Australia,CleanSlate Mouthwash,Jun2004,1644
Australia,CleanSlate Mouthwash,Jul2004,1713
Australia,CleanSlate Mouthwash,Aug2004,1671
Australia,CleanSlate Mouthwash,Sep2004,1528
Australia,CleanSlate Mouthwash,Oct2004,1492
Australia,CleanSlate Mouthwash,Nov2004,1700
Australia,CleanSlate Mouthwash,Dec2004,1886
Australia,DailyDazzle Toothpaste,Jan2004,645
Australia,DailyDazzle Toothpaste,Feb2004,700
Australia,DailyDazzle Toothpaste,Mar2004,656
Australia,DailyDazzle Toothpaste,Apr2004,713
Australia,DailyDazzle Toothpaste,May2004,733
Australia,DailyDazzle Toothpaste,Jun2004,710
Australia,DailyDazzle Toothpaste,Jul2004,714
Australia,DailyDazzle Toothpaste,Aug2004,706
Australia,DailyDazzle Toothpaste,Sep2004,705
Australia,DailyDazzle Toothpaste,Oct2004,704
Australia,DailyDazzle Toothpaste,Nov2004,736
Australia,DailyDazzle Toothpaste,Dec2004,685
Australia,OralEase Plus Toothbrush,Jan2004,20
Australia,OralEase Plus Toothbrush,Feb2004,942
Australia,OralEase Plus Toothbrush,Mar2004,546
Australia,OralEase Plus Toothbrush,Apr2004,1471
Australia,OralEase Plus Toothbrush,Jun2004,1366
Australia,OralEase Plus Toothbrush,Jul2004,1347
Australia,OralEase Plus Toothbrush,Aug2004,1333
Australia,OralEase Plus Toothbrush,Oct2004,881
Australia,OralEase Plus Toothbrush,Nov2004,1282
Australia,OralEase Plus Toothbrush,Dec2004,1291
Australia,BreatheEasy Inhalant,Jan2004,1867
Australia,BreatheEasy Inhalant,Feb2004,1675
Australia,BreatheEasy Inhalant,Mar2004,1721
Australia,BreatheEasy Inhalant,Apr2004,1957
Australia,BreatheEasy Inhalant,May2004,1904
Australia,BreatheEasy Inhalant,Jun2004,1928
Australia,BreatheEasy Inhalant,Jul2004,1789
Australia,BreatheEasy Inhalant,Aug2004,1827
Australia,BreatheEasy Inhalant,Sep2004,1929
Australia,BreatheEasy Inhalant,Oct2004,1652
Australia,BreatheEasy Inhalant,Nov2004,2034
Australia,BreatheEasy Inhalant,Dec2004,1699
Australia,FreshFix Mouthwash,Jan2004,621
Australia,FreshFix Mouthwash,Feb2004,675
Australia,FreshFix Mouthwash,Mar2004,625
Australia,FreshFix Mouthwash,Apr2004,561
Australia,FreshFix Mouthwash,May2004,651
Australia,FreshFix Mouthwash,Jun2004,621
Australia,FreshFix Mouthwash,Jul2004,621
Australia,FreshFix Mouthwash,Aug2004,639
Australia,FreshFix Mouthwash,Sep2004,582
Australia,FreshFix Mouthwash,Oct2004,618
Australia,FreshFix Mouthwash,Nov2004,619
Australia,FreshFix Mouthwash,Dec2004,667
Australia,SparklingGlow Toothpaste,Jan2004,3412
