Origin,Destination,Product,Month,Quantity
Australia,Egypt,SoothingSerenity Hand Sanitizer,Jan2004,2089
Australia,Egypt,SoothingSerenity Hand Sanitizer,Feb2004,2008
Australia,Egypt,SoothingSerenity Hand Sanitizer,Mar2004,1895
Australia,Egypt,SoothingSerenity Hand Sanitizer,Apr2004,2119
Australia,Egypt,SoothingSerenity Hand Sanitizer,May2004,1914
Australia,Egypt,SoothingSerenity Hand Sanitizer,Jun2004,1769
Australia,Egypt,SoothingSerenity Hand Sanitizer,Jul2004,2163
Australia,Egypt,SoothingSerenity Hand Sanitizer,Aug2004,1961
Australia,Egypt,SoothingSerenity Hand Sanitizer,Sep2004,1860
Australia,Egypt,SoothingSerenity Hand Sanitizer,Oct2004,1983
Australia,Egypt,SoothingSerenity Hand Sanitizer,Nov2004,1716
Australia,Egypt,SoothingSerenity Hand Sanitizer,Dec2004,1997
Australia,India,EasyWash Laundry Detergent,Jan2004,1440
Australia,India,EasyWash Laundry Detergent,Feb2004,1449
Australia,India,EasyWash Laundry Detergent,Mar2004,1478
Australia,India,EasyWash Laundry Detergent,Apr2004,1359
Australia,India,EasyWash Laundry Detergent,May2004,1514
Australia,India,EasyWash Laundry Detergent,Jun2004,1459
Australia,India,EasyWash Laundry Detergent,Jul2004,1370
Australia,India,EasyWash Laundry Detergent,Aug2004,1533
Australia,India,EasyWash Laundry Detergent,Sep2004,1430
Australia,India,EasyWash Laundry Detergent,Oct2004,1525
Australia,India,EasyWash Laundry Detergent,Nov2004,1570
Australia,India,EasyWash Laundry Detergent,Dec2004,1387
Australia,India,RadiantRose Baby Massage Oil,Jan2004,1257
Australia,India,RadiantRose Baby Massage Oil,Feb2004,1162
Australia,India,RadiantRose Baby Massage Oil,Mar2004,1165
Australia,India,RadiantRose Baby Massage Oil,Apr2004,1177
Australia,India,RadiantRose Baby Massage Oil,May2004,1219
Australia,India,RadiantRose Baby Massage Oil,Jun2004,1120
Australia,India,RadiantRose Baby Massage Oil,Jul2004,1106
Australia,India,RadiantRose Baby Massage Oil,Aug2004,1092
Australia,India,RadiantRose Baby Massage Oil,Sep2004,989
Australia,India,RadiantRose Baby Massage Oil,Oct2004,1056
Australia,India,RadiantRose Baby Massage Oil,Nov2004,1109
Australia,India,RadiantRose Baby Massage Oil,Dec2004,967
Australia,Italy,SoothingSerenity Hand Sanitizer,Jan2004,1720
Australia,Italy,SoothingSerenity Hand Sanitizer,Feb2004,1701
Australia,Italy,SoothingSerenity Hand Sanitizer,Mar2004,1948
Australia,Italy,SoothingSerenity Hand Sanitizer,Apr2004,1694
Australia,Italy,SoothingSerenity Hand Sanitizer,May2004,1828
Australia,Italy,SoothingSerenity Hand Sanitizer,Jun2004,1654
Australia,Italy,SoothingSerenity Hand Sanitizer,Jul2004,1831
Australia,Italy,SoothingSerenity Hand Sanitizer,Aug2004,1808
Australia,Italy,SoothingSerenity Hand Sanitizer,Sep2004,1819
Australia,Italy,SoothingSerenity Hand Sanitizer,Oct2004,1722
